"","DATE_TIME","Sum_AC","DATE"
"102","2020-05-16 04:00:00",0,2020-05-16
"103","2020-05-16 04:15:00",0,2020-05-16
"104","2020-05-16 04:30:00",0,2020-05-16
"105","2020-05-16 04:45:00",0,2020-05-16
"106","2020-05-16 05:00:00",0,2020-05-16
"107","2020-05-16 05:15:00",0,2020-05-16
"108","2020-05-16 05:30:00",0,2020-05-16
"109","2020-05-16 05:45:00",0,2020-05-16
"110","2020-05-16 06:00:00",109.162500001,2020-05-16
"111","2020-05-16 06:15:00",722.45,2020-05-16
"112","2020-05-16 06:30:00",1505.28571429,2020-05-16
"113","2020-05-16 06:45:00",2414.7017856,2020-05-16
"114","2020-05-16 07:00:00",3337.7285714,2020-05-16
"115","2020-05-16 07:15:00",4249.375,2020-05-16
"116","2020-05-16 07:30:00",5338.8321429,2020-05-16
"117","2020-05-16 07:45:00",7404.7499999,2020-05-16
"118","2020-05-16 08:00:00",9070.4714286,2020-05-16
"119","2020-05-16 08:15:00",10321.0410714,2020-05-16
"120","2020-05-16 08:30:00",12793.2142858,2020-05-16
"121","2020-05-16 08:45:00",13958.0767856,2020-05-16
"122","2020-05-16 09:00:00",13808.6267858,2020-05-16
"123","2020-05-16 09:15:00",12505.0464286,2020-05-16
"124","2020-05-16 09:30:00",12717.1303571,2020-05-16
"125","2020-05-16 09:45:00",15778.1428572,2020-05-16
"126","2020-05-16 10:00:00",15823.0624999,2020-05-16
"127","2020-05-16 10:15:00",15370.6178572,2020-05-16
"128","2020-05-16 10:30:00",20231.7249999,2020-05-16
"129","2020-05-16 10:45:00",17914.6571428,2020-05-16
"130","2020-05-16 11:00:00",17355.6821429,2020-05-16
"131","2020-05-16 11:15:00",16382.2249999,2020-05-16
"132","2020-05-16 11:30:00",15434.8267857,2020-05-16
"133","2020-05-16 11:45:00",19073.2285713,2020-05-16
"134","2020-05-16 12:00:00",19409.3839285,2020-05-16
"135","2020-05-16 12:15:00",16146.9214285,2020-05-16
"136","2020-05-16 12:30:00",22351.0714279,2020-05-16
"137","2020-05-16 12:45:00",23955.614285,2020-05-16
"138","2020-05-16 13:00:00",18721.4178572,2020-05-16
"139","2020-05-16 13:15:00",22843.682144,2020-05-16
"140","2020-05-16 13:30:00",18158.7285714,2020-05-16
"141","2020-05-16 13:45:00",15212.2035714,2020-05-16
"142","2020-05-16 14:00:00",13548.9964284,2020-05-16
"143","2020-05-16 14:15:00",18380.15,2020-05-16
"144","2020-05-16 14:30:00",16046.5160714,2020-05-16
"145","2020-05-16 14:45:00",15714.4446429,2020-05-16
"146","2020-05-16 15:00:00",15448.5982142,2020-05-16
"147","2020-05-16 15:15:00",12795.3446429,2020-05-16
"148","2020-05-16 15:30:00",10918.8928573,2020-05-16
"149","2020-05-16 15:45:00",8340.4500001,2020-05-16
"150","2020-05-16 16:00:00",7303.142857,2020-05-16
"151","2020-05-16 16:15:00",6150.5053572,2020-05-16
"152","2020-05-16 16:30:00",5608.7553573,2020-05-16
"153","2020-05-16 16:45:00",4775.5607142,2020-05-16
"154","2020-05-16 17:00:00",4240.2982144,2020-05-16
"155","2020-05-16 17:15:00",3448.0714285,2020-05-16
"156","2020-05-16 17:30:00",2516.7553571,2020-05-16
"157","2020-05-16 17:45:00",1603.10178571,2020-05-16
"158","2020-05-16 18:00:00",833.82857144,2020-05-16
"159","2020-05-16 18:15:00",267.32500001,2020-05-16
"160","2020-05-16 18:30:00",0,2020-05-16
"161","2020-05-16 18:45:00",0,2020-05-16
"162","2020-05-16 19:00:00",0,2020-05-16
"163","2020-05-16 19:15:00",0,2020-05-16
"164","2020-05-16 19:30:00",0,2020-05-16
"165","2020-05-16 19:45:00",0,2020-05-16
"166","2020-05-16 20:00:00",0,2020-05-16
"167","2020-05-16 20:15:00",0,2020-05-16
"168","2020-05-16 20:30:00",0,2020-05-16
"169","2020-05-16 20:45:00",0,2020-05-16
"170","2020-05-16 21:00:00",0,2020-05-16
"171","2020-05-16 21:15:00",0,2020-05-16
"172","2020-05-16 21:30:00",0,2020-05-16
"173","2020-05-16 21:45:00",0,2020-05-16
"174","2020-05-16 22:00:00",0,2020-05-16
