a,b,c,d
11.808764478806243,-4.711067276598308e-06,-50751.96796028916,-0.012445148668983472
14.711981842646026,-3.072956411877195e-06,-36697.136543124885,0.016818645620074374
6.102778891798495,-7.734058713307016e-10,-774645059.7371483,-0.2623383307703767
13.315439315600626,-1.4257608107217329e-10,-1276276842.63685,-0.031254367588886924
15.05511835403692,-5.561521456446363e-06,-24455.87970928932,0.037485089697273974
6.213728322242543,-2.7285378752623903e-09,-142253579.84554568,-0.2324459801278122
15.45089230591687,-2.9155811488734967e-06,-50117.472228732375,0.026497594885051465
10.207030424532777,-2.6620942873145123e-06,-115041.63572127616,-0.06481775953020959
8.552283175963218,-3.490697364429468e-06,-127502.14261754994,-0.11858952249887296
10.254949867715776,-6.615324298158186e-10,-346000083.57050675,-0.07325796470616094
12.146604274934523,-4.509599282440536e-06,-49036.19899877709,-0.008626012632152
0.10307765537819172,-7.172172820667322e-05,-771382.5940571772,-26.476940562089876
12.57368710059828,-5.2345753294541e-08,-3564650.217443044,-0.029475013912338175
2.6549796425956016,-7.118223827484854e-06,-213274.05396991034,-0.758397180760827
12.913385859999787,-3.453754351197501e-06,-71612.3807182289,-0.010928374071987062
3.7943943353406797,-3.2341633714747535e-10,-4533045338.693714,-0.5909983860869605
10.955363999160562,-4.21761321745628e-10,-807337230.3520153,-0.08215961566743205
11.675258722532611,-6.206057216296092e-06,-76382.41226152304,-0.03463163572793366
18.293088625427632,-7.331068160483838e-11,-407080862.58724666,0.033212388585898325
5.586193530682798,-1.1301880765249658e-09,-574840786.118512,-0.3144563067800056
0.002367556986348245,-1.428062167974115e-05,-178743477.49104744,-1215.70786243017
2.375515981299987,-2.4600467526002495e-09,-905087248.6808599,-1.0159829525130395
16.02794631019014,-6.136080509967329e-10,-136444922.95749655,0.01681188014631951
9.850387009408374,-7.976011146086528e-10,-635733332.4502382,-0.11608553062552329
6.3056672633184006,-2.668327726134771e-09,-199831547.08325842,-0.24553751692583448
1.7462228772903243,-1.4569123310375813e-05,-205451.82743369913,-1.303746702068796
16.36660175581553,-2.5382406550954643e-06,-37511.81115113175,0.03329709960586504
16.515194437337236,-1.247481472720006e-10,-346107574.0185651,0.013691526177944273
10.376756794935428,-1.0798227520131321e-10,-2395607444.2202587,-0.09162978365311321
2.159310902985525,-1.3511067576401904e-05,-145523.52794423935,-0.9868217204124838
0.3408038626181382,-9.89457153807934e-08,-205620810.34671643,-8.631513896421623
10.819848692224811,-7.489659315502693e-06,-46664.70399344392,-0.03401661290057339
5.817727432300396,-2.811926959825049e-06,-283306.16344000224,-0.2946259152499676
11.459741250885166,-1.1985916945944262e-09,-250393448.29849505,-0.07265376854383174
